Individual,Age,CSP,iris,Couple,Sexe
6262,Moins de 5 ans,null,765400304,null,Hommes
6263,30 à 34 ans,Autres personnes sans activité professionnelle,765400305,Ne vivant pas en couple,Femmes
6264,15 à 19 ans,Autres personnes sans activité professionnelle,765401003,Ne vivant pas en couple,Hommes
6265,25 à 29 ans,Employés,765400801,Ne vivant pas en couple,Femmes
6266,80 à 84 ans,Retraités,765400203,Vivant en couple,Femmes
6267,25 à 29 ans,Professions intermédiaires,765400106,Ne vivant pas en couple,Femmes
6268,20 à 24 ans,Autres personnes sans activité professionnelle,765400105,Vivant en couple,Hommes
6269,50 à 54 ans,Ouvriers,765400101,Ne vivant pas en couple,Hommes
6270,25 à 29 ans,Ouvriers,765400404,Ne vivant pas en couple,Hommes
6271,45 à 49 ans,Ouvriers,765400405,Vivant en couple,Femmes
6272,45 à 49 ans,Ouvriers,765400802,Vivant en couple,Hommes
6273,40 à 44 ans,Professions intermédiaires,765400103,Ne vivant pas en couple,Hommes
6274,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400106,Vivant en couple,Femmes
6275,70 à 74 ans,Autres personnes sans activité professionnelle,765401005,Vivant en couple,Femmes
6276,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400504,Vivant en couple,Hommes
6277,35 à 39 ans,Artisans. commerçants. chefs d'entreprise,765401005,Ne vivant pas en couple,Hommes
6278,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400404,Vivant en couple,Femmes
6279,75 à 79 ans,Retraités,765400305,Vivant en couple,Hommes
6280,30 à 34 ans,Cadres et professions intellectuelles supérieures,765401002,Vivant en couple,Femmes
6281,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400402,Vivant en couple,Femmes
6282,40 à 44 ans,Employés,765401001,Vivant en couple,Femmes
6283,Moins de 5 ans,null,765400802,null,Femmes
6284,60 à 64 ans,Autres personnes sans activité professionnelle,765400501,Vivant en couple,Femmes
6285,Moins de 5 ans,null,765400201,null,Hommes
6286,10 à 14 ans,null,765400602,null,Femmes
6287,25 à 29 ans,Ouvriers,765400102,Vivant en couple,Hommes
6288,60 à 64 ans,Retraités,765400204,Vivant en couple,Hommes
6289,35 à 39 ans,Professions intermédiaires,765400902,Vivant en couple,Femmes
6290,95 à 99 ans,Retraités,765400404,Ne vivant pas en couple,Femmes
6291,40 à 44 ans,Employés,765400802,Vivant en couple,Femmes
6292,75 à 79 ans,Retraités,765400202,Vivant en couple,Hommes
6293,Moins de 5 ans,null,765401003,null,Femmes
6294,15 à 19 ans,Autres personnes sans activité professionnelle,765400602,Ne vivant pas en couple,Hommes
6295,80 à 84 ans,Retraités,765400403,Vivant en couple,Hommes
6296,Moins de 5 ans,null,765400304,null,Femmes
6297,50 à 54 ans,Autres personnes sans activité professionnelle,765400106,Vivant en couple,Hommes
6298,10 à 14 ans,null,765400202,null,Hommes
6299,5 à 9 ans,null,765400702,null,Femmes
6300,65 à 69 ans,Retraités,765400106,Vivant en couple,Femmes
6301,65 à 69 ans,Retraités,765400106,Vivant en couple,Femmes
6302,10 à 14 ans,null,765400901,null,Hommes
6303,55 à 59 ans,Retraités,765400402,Ne vivant pas en couple,Femmes
6304,60 à 64 ans,Retraités,765400201,Ne vivant pas en couple,Hommes
6305,15 à 19 ans,Employés,765400305,Ne vivant pas en couple,Femmes
6306,25 à 29 ans,Ouvriers,765400802,Ne vivant pas en couple,Hommes
6307,15 à 19 ans,Autres personnes sans activité professionnelle,765401001,Ne vivant pas en couple,Hommes
6308,95 à 99 ans,Retraités,765401004,Vivant en couple,Femmes
6309,25 à 29 ans,Cadres et professions intellectuelles supérieures,765400901,Ne vivant pas en couple,Femmes
6310,40 à 44 ans,Employés,765400502,Vivant en couple,Femmes
6311,45 à 49 ans,Employés,765400604,Vivant en couple,Femmes
6312,30 à 34 ans,Autres personnes sans activité professionnelle,765400601,Vivant en couple,Femmes
6313,40 à 44 ans,Ouvriers,765400604,Vivant en couple,Hommes
6314,35 à 39 ans,Ouvriers,765400204,Ne vivant pas en couple,Hommes
6315,30 à 34 ans,Ouvriers,765400801,Ne vivant pas en couple,Hommes
6316,25 à 29 ans,Autres personnes sans activité professionnelle,765400405,Vivant en couple,Hommes
6317,15 à 19 ans,Autres personnes sans activité professionnelle,765400402,Ne vivant pas en couple,Hommes
6318,20 à 24 ans,Ouvriers,765400802,Ne vivant pas en couple,Hommes
6319,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400604,Vivant en couple,Hommes
6320,15 à 19 ans,Autres personnes sans activité professionnelle,765400305,Ne vivant pas en couple,Hommes
6321,25 à 29 ans,Professions intermédiaires,765400404,Vivant en couple,Hommes
6322,40 à 44 ans,Professions intermédiaires,765400306,Vivant en couple,Hommes
6323,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400405,Vivant en couple,Hommes
6324,10 à 14 ans,null,765400802,null,Femmes
6325,60 à 64 ans,Professions intermédiaires,765400404,Ne vivant pas en couple,Femmes
6326,20 à 24 ans,Autres personnes sans activité professionnelle,765400106,Ne vivant pas en couple,Femmes
6327,40 à 44 ans,Ouvriers,765401005,Ne vivant pas en couple,Hommes
6328,15 à 19 ans,Autres personnes sans activité professionnelle,765400404,Vivant en couple,Hommes
6329,10 à 14 ans,null,765401002,null,Femmes
6330,55 à 59 ans,Professions intermédiaires,765400304,Vivant en couple,Femmes
6331,Moins de 5 ans,null,765400503,null,Hommes
6332,5 à 9 ans,null,765400106,null,Femmes
6333,90 à 94 ans,Retraités,765400202,Vivant en couple,Femmes
6334,Moins de 5 ans,null,765400901,null,Femmes
6335,50 à 54 ans,Employés,765400701,Vivant en couple,Hommes
6336,60 à 64 ans,Retraités,765400101,Vivant en couple,Hommes
6337,65 à 69 ans,Retraités,765400602,Vivant en couple,Hommes
6338,25 à 29 ans,Employés,765400501,Vivant en couple,Hommes
6339,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400203,Ne vivant pas en couple,Femmes
6340,20 à 24 ans,Professions intermédiaires,765400404,Ne vivant pas en couple,Hommes
6341,65 à 69 ans,Retraités,765400602,Vivant en couple,Femmes
6342,65 à 69 ans,Retraités,765400106,Vivant en couple,Femmes
6343,70 à 74 ans,Retraités,765400503,Vivant en couple,Hommes
6344,35 à 39 ans,Ouvriers,765400404,Ne vivant pas en couple,Hommes
6345,50 à 54 ans,Professions intermédiaires,765400403,Vivant en couple,Femmes
6346,Moins de 5 ans,null,765400901,null,Hommes
6347,25 à 29 ans,Ouvriers,765400602,Vivant en couple,Hommes
6348,35 à 39 ans,Autres personnes sans activité professionnelle,765400102,Ne vivant pas en couple,Femmes
6349,65 à 69 ans,Retraités,765400303,Ne vivant pas en couple,Hommes
6350,75 à 79 ans,Retraités,765401004,Ne vivant pas en couple,Femmes
6351,70 à 74 ans,Retraités,765400304,Ne vivant pas en couple,Hommes
6352,10 à 14 ans,null,765400502,null,Hommes
6353,Moins de 5 ans,null,765400801,null,Femmes
6354,40 à 44 ans,Ouvriers,765400501,Ne vivant pas en couple,Femmes
6355,40 à 44 ans,Autres personnes sans activité professionnelle,765400901,Vivant en couple,Femmes
6356,50 à 54 ans,Professions intermédiaires,765400303,Vivant en couple,Femmes
6357,15 à 19 ans,Autres personnes sans activité professionnelle,765400305,Ne vivant pas en couple,Hommes
6358,15 à 19 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Femmes
6359,15 à 19 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Femmes
6360,10 à 14 ans,null,765400902,null,Femmes
6361,40 à 44 ans,Ouvriers,765400101,Ne vivant pas en couple,Hommes
6362,35 à 39 ans,Ouvriers,765400404,Vivant en couple,Hommes
6363,50 à 54 ans,Ouvriers,765400503,Vivant en couple,Hommes
6364,15 à 19 ans,Ouvriers,765400404,Ne vivant pas en couple,Hommes
6365,75 à 79 ans,Retraités,765400601,Ne vivant pas en couple,Femmes
6366,Moins de 5 ans,null,765400601,null,Femmes
6367,Moins de 5 ans,null,765401005,null,Femmes
6368,15 à 19 ans,Autres personnes sans activité professionnelle,765401004,Ne vivant pas en couple,Hommes
6369,5 à 9 ans,null,765400106,null,Hommes
6370,30 à 34 ans,Artisans. commerçants. chefs d'entreprise,765401002,Ne vivant pas en couple,Hommes
6371,Moins de 5 ans,null,765400203,null,Hommes
6372,5 à 9 ans,null,765401003,null,Femmes
6373,Moins de 5 ans,null,765400801,null,Hommes
6374,25 à 29 ans,Ouvriers,765400301,Vivant en couple,Hommes
6375,20 à 24 ans,Professions intermédiaires,765400203,Ne vivant pas en couple,Hommes
6376,55 à 59 ans,Retraités,765400203,Vivant en couple,Hommes
6377,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400601,Vivant en couple,Femmes
6378,25 à 29 ans,Ouvriers,765400405,Vivant en couple,Hommes
6379,50 à 54 ans,Employés,765400306,Vivant en couple,Femmes
6380,Moins de 5 ans,null,765400405,null,Hommes
6381,25 à 29 ans,Professions intermédiaires,765400303,Vivant en couple,Hommes
6382,15 à 19 ans,Autres personnes sans activité professionnelle,765400101,Vivant en couple,Femmes
6383,Moins de 5 ans,null,765401005,null,Femmes
6384,40 à 44 ans,Employés,765400503,Vivant en couple,Femmes
6385,35 à 39 ans,Professions intermédiaires,765401003,Vivant en couple,Femmes
6386,10 à 14 ans,null,765400306,null,Femmes
6387,40 à 44 ans,Autres personnes sans activité professionnelle,765400101,Ne vivant pas en couple,Femmes
6388,Moins de 5 ans,null,765400404,null,Hommes
6389,35 à 39 ans,Professions intermédiaires,765400502,Vivant en couple,Hommes
6390,15 à 19 ans,Autres personnes sans activité professionnelle,765400405,Ne vivant pas en couple,Femmes
6391,65 à 69 ans,Retraités,765400901,Vivant en couple,Femmes
6392,75 à 79 ans,Retraités,765400502,Vivant en couple,Hommes
6393,50 à 54 ans,Employés,765400404,Vivant en couple,Femmes
6394,Moins de 5 ans,null,765400305,null,Hommes
6395,30 à 34 ans,Professions intermédiaires,765400203,Vivant en couple,Hommes
6396,30 à 34 ans,Employés,765400201,Ne vivant pas en couple,Femmes
6397,60 à 64 ans,Employés,765400106,Ne vivant pas en couple,Femmes
6398,85 à 89 ans,Retraités,765400601,Ne vivant pas en couple,Femmes
6399,60 à 64 ans,Employés,765400303,Vivant en couple,Hommes
6400,45 à 49 ans,Employés,765400901,Vivant en couple,Femmes
6401,5 à 9 ans,null,765400601,null,Femmes
6402,15 à 19 ans,Autres personnes sans activité professionnelle,765401002,Ne vivant pas en couple,Hommes
6403,35 à 39 ans,Professions intermédiaires,765400502,Vivant en couple,Hommes
6404,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400901,Ne vivant pas en couple,Hommes
6405,25 à 29 ans,Ouvriers,765400604,Ne vivant pas en couple,Hommes
6406,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400305,Ne vivant pas en couple,Femmes
6407,35 à 39 ans,Professions intermédiaires,765400702,Ne vivant pas en couple,Femmes
6408,40 à 44 ans,Cadres et professions intellectuelles supérieures,765400306,Vivant en couple,Hommes
6409,35 à 39 ans,Professions intermédiaires,765400101,Ne vivant pas en couple,Femmes
6410,20 à 24 ans,Employés,765400502,Vivant en couple,Femmes
6411,20 à 24 ans,Employés,765400102,Ne vivant pas en couple,Femmes
6412,25 à 29 ans,Professions intermédiaires,765401002,Vivant en couple,Hommes
6413,10 à 14 ans,null,765400801,null,Hommes
6414,20 à 24 ans,Professions intermédiaires,765400502,Ne vivant pas en couple,Hommes
6415,15 à 19 ans,Autres personnes sans activité professionnelle,765400103,Ne vivant pas en couple,Hommes
6416,25 à 29 ans,Employés,765400306,Ne vivant pas en couple,Femmes
6417,5 à 9 ans,null,765400201,null,Hommes
6418,40 à 44 ans,Autres personnes sans activité professionnelle,765401003,Vivant en couple,Hommes
6419,20 à 24 ans,Autres personnes sans activité professionnelle,765400104,Ne vivant pas en couple,Femmes
6420,45 à 49 ans,Employés,765401002,Vivant en couple,Femmes
6421,Moins de 5 ans,null,765400504,null,Hommes
6422,10 à 14 ans,null,765400503,null,Femmes
6423,55 à 59 ans,Retraités,765400203,Ne vivant pas en couple,Hommes
6424,85 à 89 ans,Retraités,765401005,Vivant en couple,Femmes
6425,45 à 49 ans,Employés,765400601,Vivant en couple,Femmes
6426,30 à 34 ans,Autres personnes sans activité professionnelle,765400304,Vivant en couple,Femmes
6427,15 à 19 ans,Employés,765400101,Ne vivant pas en couple,Femmes
6428,20 à 24 ans,Autres personnes sans activité professionnelle,765400304,Ne vivant pas en couple,Femmes
6429,25 à 29 ans,Professions intermédiaires,765400301,Vivant en couple,Hommes
6430,5 à 9 ans,null,765400202,null,Femmes
6431,25 à 29 ans,Autres personnes sans activité professionnelle,765400301,Ne vivant pas en couple,Femmes
6432,10 à 14 ans,null,765400602,null,Femmes
6433,25 à 29 ans,Employés,765400101,Ne vivant pas en couple,Femmes
6434,40 à 44 ans,Employés,765400304,Ne vivant pas en couple,Femmes
6435,45 à 49 ans,Employés,765400304,Ne vivant pas en couple,Femmes
6436,55 à 59 ans,Retraités,765400404,Vivant en couple,Hommes
6437,50 à 54 ans,Employés,765400901,Vivant en couple,Femmes
6438,65 à 69 ans,Retraités,765400102,Vivant en couple,Femmes
6439,5 à 9 ans,null,765400404,null,Hommes
6440,35 à 39 ans,Employés,765400501,Vivant en couple,Femmes
6441,25 à 29 ans,Cadres et professions intellectuelles supérieures,765401001,Vivant en couple,Femmes
6442,60 à 64 ans,Employés,765401001,Vivant en couple,Femmes
6443,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400802,Vivant en couple,Hommes
6444,20 à 24 ans,Ouvriers,765400101,Ne vivant pas en couple,Hommes
6445,5 à 9 ans,null,765400105,null,Hommes
6446,20 à 24 ans,Cadres et professions intellectuelles supérieures,765400305,Ne vivant pas en couple,Femmes
6447,15 à 19 ans,Autres personnes sans activité professionnelle,765400201,Ne vivant pas en couple,Femmes
6448,15 à 19 ans,Autres personnes sans activité professionnelle,765401005,Ne vivant pas en couple,Hommes
6449,30 à 34 ans,Employés,765400502,Ne vivant pas en couple,Femmes
6450,35 à 39 ans,Professions intermédiaires,765400305,Ne vivant pas en couple,Hommes
6451,5 à 9 ans,null,765400602,null,Femmes
6452,Moins de 5 ans,null,765400201,null,Femmes
6453,20 à 24 ans,Professions intermédiaires,765400501,Ne vivant pas en couple,Hommes
6454,15 à 19 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Femmes
6455,60 à 64 ans,Artisans. commerçants. chefs d'entreprise,765401001,Vivant en couple,Hommes
6456,85 à 89 ans,Retraités,765400601,Ne vivant pas en couple,Femmes
6457,20 à 24 ans,Autres personnes sans activité professionnelle,765400402,Ne vivant pas en couple,Femmes
6458,15 à 19 ans,Autres personnes sans activité professionnelle,765400802,Vivant en couple,Hommes
6459,5 à 9 ans,null,765400203,null,Hommes
6460,40 à 44 ans,Autres personnes sans activité professionnelle,765400403,Ne vivant pas en couple,Femmes
6461,25 à 29 ans,Cadres et professions intellectuelles supérieures,765401002,Ne vivant pas en couple,Femmes
6462,20 à 24 ans,Autres personnes sans activité professionnelle,765400501,Ne vivant pas en couple,Femmes
6463,45 à 49 ans,Ouvriers,765400802,Ne vivant pas en couple,Femmes
6464,25 à 29 ans,Employés,765400203,Vivant en couple,Femmes
6465,25 à 29 ans,Professions intermédiaires,765400701,Vivant en couple,Hommes
6466,50 à 54 ans,Ouvriers,765400404,Vivant en couple,Hommes
6467,20 à 24 ans,Autres personnes sans activité professionnelle,765400701,Vivant en couple,Femmes
6468,Moins de 5 ans,null,765400404,null,Femmes
6469,Moins de 5 ans,null,765400405,null,Femmes
6470,45 à 49 ans,Ouvriers,765400601,Vivant en couple,Femmes
6471,15 à 19 ans,Autres personnes sans activité professionnelle,765401004,Ne vivant pas en couple,Femmes
6472,65 à 69 ans,Retraités,765400802,Vivant en couple,Hommes
6473,55 à 59 ans,Cadres et professions intellectuelles supérieures,765400901,Ne vivant pas en couple,Femmes
6474,25 à 29 ans,Employés,765400305,Vivant en couple,Hommes
6475,Moins de 5 ans,null,765400303,null,Femmes
6476,60 à 64 ans,Ouvriers,765400201,Ne vivant pas en couple,Femmes
6477,20 à 24 ans,Autres personnes sans activité professionnelle,765401002,Vivant en couple,Femmes
6478,50 à 54 ans,Employés,765400604,Vivant en couple,Hommes
6479,25 à 29 ans,Employés,765400702,Ne vivant pas en couple,Hommes
6480,55 à 59 ans,Retraités,765401004,Vivant en couple,Hommes
6481,25 à 29 ans,Cadres et professions intellectuelles supérieures,765400201,Ne vivant pas en couple,Hommes
6482,20 à 24 ans,Employés,765400702,Vivant en couple,Femmes
6483,50 à 54 ans,Autres personnes sans activité professionnelle,765400501,Vivant en couple,Hommes
6484,80 à 84 ans,Retraités,765400402,Vivant en couple,Femmes
6485,30 à 34 ans,Cadres et professions intellectuelles supérieures,765400503,Vivant en couple,Hommes
6486,15 à 19 ans,Autres personnes sans activité professionnelle,765400303,Ne vivant pas en couple,Femmes
6487,30 à 34 ans,Artisans. commerçants. chefs d'entreprise,765400104,Vivant en couple,Hommes
6488,65 à 69 ans,Retraités,765401001,Vivant en couple,Femmes
6489,20 à 24 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Femmes
6490,75 à 79 ans,Retraités,765400601,Ne vivant pas en couple,Hommes
6491,5 à 9 ans,null,765401004,null,Hommes
6492,70 à 74 ans,Retraités,765400201,Vivant en couple,Femmes
6493,Moins de 5 ans,null,765400303,null,Femmes
6494,20 à 24 ans,Employés,765400103,Ne vivant pas en couple,Femmes
6495,30 à 34 ans,Professions intermédiaires,765400701,Ne vivant pas en couple,Hommes
6496,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400106,Ne vivant pas en couple,Femmes
6497,5 à 9 ans,null,765400306,null,Femmes
6498,55 à 59 ans,Retraités,765400604,Vivant en couple,Femmes
6499,30 à 34 ans,Employés,765400103,Vivant en couple,Femmes
6500,20 à 24 ans,Professions intermédiaires,765401001,Ne vivant pas en couple,Hommes
6501,10 à 14 ans,null,765400801,null,Hommes
6502,90 à 94 ans,Retraités,765400202,Vivant en couple,Femmes
6503,45 à 49 ans,Ouvriers,765400504,Ne vivant pas en couple,Femmes
6504,15 à 19 ans,Autres personnes sans activité professionnelle,765401002,Ne vivant pas en couple,Hommes
6505,65 à 69 ans,Retraités,765400901,Ne vivant pas en couple,Hommes
6506,35 à 39 ans,Autres personnes sans activité professionnelle,765400203,Ne vivant pas en couple,Hommes
6507,55 à 59 ans,Retraités,765401003,Vivant en couple,Hommes
6508,60 à 64 ans,Artisans. commerçants. chefs d'entreprise,765400602,Vivant en couple,Hommes
6509,20 à 24 ans,Autres personnes sans activité professionnelle,765400504,Vivant en couple,Hommes
6510,55 à 59 ans,Professions intermédiaires,765400702,Vivant en couple,Hommes
6511,Moins de 5 ans,null,765401005,null,Hommes
6512,35 à 39 ans,Ouvriers,765400501,Vivant en couple,Hommes
6513,75 à 79 ans,Retraités,765400102,Ne vivant pas en couple,Femmes
6514,5 à 9 ans,null,765400802,null,Femmes
6515,30 à 34 ans,Autres personnes sans activité professionnelle,765400604,Vivant en couple,Femmes
6516,5 à 9 ans,null,765401001,null,Hommes
6517,50 à 54 ans,Autres personnes sans activité professionnelle,765400502,Vivant en couple,Hommes
6518,65 à 69 ans,Retraités,765400802,Vivant en couple,Femmes
6519,25 à 29 ans,Professions intermédiaires,765400203,Vivant en couple,Femmes
6520,15 à 19 ans,Autres personnes sans activité professionnelle,765400305,Ne vivant pas en couple,Hommes
6521,85 à 89 ans,Retraités,765400103,Ne vivant pas en couple,Hommes
6522,5 à 9 ans,null,765400102,null,Hommes
6523,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400201,Ne vivant pas en couple,Hommes
6524,75 à 79 ans,Retraités,765400901,Vivant en couple,Femmes
6525,50 à 54 ans,Ouvriers,765400203,Ne vivant pas en couple,Hommes
6526,5 à 9 ans,null,765400104,null,Femmes
6527,30 à 34 ans,Professions intermédiaires,765400301,Vivant en couple,Hommes
6528,10 à 14 ans,null,765400601,null,Femmes
6529,15 à 19 ans,Ouvriers,765400701,Ne vivant pas en couple,Hommes
6530,5 à 9 ans,null,765400902,null,Femmes
6531,45 à 49 ans,Employés,765400201,Vivant en couple,Femmes
6532,70 à 74 ans,Retraités,765400101,Vivant en couple,Femmes
6533,60 à 64 ans,Employés,765400202,Vivant en couple,Femmes
6534,35 à 39 ans,Employés,765400602,Vivant en couple,Femmes
6535,20 à 24 ans,Employés,765400603,Ne vivant pas en couple,Femmes
6536,20 à 24 ans,Professions intermédiaires,765400604,Ne vivant pas en couple,Femmes
6537,80 à 84 ans,Artisans. commerçants. chefs d'entreprise,765401002,Ne vivant pas en couple,Femmes
6538,15 à 19 ans,Autres personnes sans activité professionnelle,765400102,Ne vivant pas en couple,Femmes
6539,50 à 54 ans,Artisans. commerçants. chefs d'entreprise,765400103,Vivant en couple,Femmes
6540,25 à 29 ans,Artisans. commerçants. chefs d'entreprise,765400504,Vivant en couple,Hommes
6541,35 à 39 ans,Ouvriers,765400103,Vivant en couple,Hommes
6542,50 à 54 ans,Ouvriers,765400502,Vivant en couple,Hommes
6543,60 à 64 ans,Cadres et professions intellectuelles supérieures,765400901,Vivant en couple,Femmes
6544,20 à 24 ans,Cadres et professions intellectuelles supérieures,765400602,Vivant en couple,Femmes
6545,70 à 74 ans,Retraités,765400102,Ne vivant pas en couple,Hommes
6546,30 à 34 ans,Employés,765400306,Ne vivant pas en couple,Femmes
6547,85 à 89 ans,Retraités,765400306,Ne vivant pas en couple,Femmes
6548,25 à 29 ans,Employés,765400201,Ne vivant pas en couple,Femmes
6549,15 à 19 ans,Autres personnes sans activité professionnelle,765400602,Ne vivant pas en couple,Femmes
6550,30 à 34 ans,Ouvriers,765401002,Vivant en couple,Hommes
6551,5 à 9 ans,null,765401005,null,Hommes
6552,Moins de 5 ans,null,765400901,null,Femmes
6553,15 à 19 ans,Employés,765400202,Ne vivant pas en couple,Femmes
6554,80 à 84 ans,Retraités,765400604,Vivant en couple,Hommes
6555,30 à 34 ans,Professions intermédiaires,765400404,Vivant en couple,Hommes
6556,15 à 19 ans,Employés,765401003,Ne vivant pas en couple,Femmes
6557,75 à 79 ans,Retraités,765400102,Ne vivant pas en couple,Femmes
6558,25 à 29 ans,Cadres et professions intellectuelles supérieures,765401005,Vivant en couple,Hommes
6559,Moins de 5 ans,null,765400303,null,Femmes
6560,10 à 14 ans,null,765400204,null,Femmes
6561,60 à 64 ans,Retraités,765400602,Ne vivant pas en couple,Hommes
6562,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400303,Ne vivant pas en couple,Hommes
6563,5 à 9 ans,null,765400405,null,Hommes
6564,30 à 34 ans,Professions intermédiaires,765401003,Vivant en couple,Femmes
6565,75 à 79 ans,Retraités,765400106,Vivant en couple,Hommes
6566,45 à 49 ans,Employés,765400102,Vivant en couple,Femmes
6567,65 à 69 ans,Retraités,765400404,Vivant en couple,Femmes
6568,70 à 74 ans,Retraités,765400204,Vivant en couple,Hommes
6569,55 à 59 ans,Agriculteurs exploitants,765401002,Vivant en couple,Hommes
6570,15 à 19 ans,Autres personnes sans activité professionnelle,765400604,Ne vivant pas en couple,Hommes
6571,75 à 79 ans,Retraités,765400202,Ne vivant pas en couple,Femmes
6572,65 à 69 ans,Retraités,765400502,Ne vivant pas en couple,Femmes
6573,15 à 19 ans,Autres personnes sans activité professionnelle,765400203,Ne vivant pas en couple,Femmes
6574,20 à 24 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Femmes
6575,Moins de 5 ans,null,765400501,null,Femmes
6576,15 à 19 ans,Autres personnes sans activité professionnelle,765400303,Ne vivant pas en couple,Femmes
6577,60 à 64 ans,Employés,765400101,Vivant en couple,Hommes
6578,45 à 49 ans,Autres personnes sans activité professionnelle,765400203,Vivant en couple,Femmes
6579,50 à 54 ans,Cadres et professions intellectuelles supérieures,765400303,Vivant en couple,Femmes
6580,50 à 54 ans,Artisans. commerçants. chefs d'entreprise,765400503,Vivant en couple,Hommes
6581,45 à 49 ans,Employés,765400306,Vivant en couple,Femmes
6582,30 à 34 ans,Autres personnes sans activité professionnelle,765400105,Ne vivant pas en couple,Femmes
6583,55 à 59 ans,Professions intermédiaires,765401005,Vivant en couple,Hommes
6584,10 à 14 ans,null,765400402,null,Hommes
6585,20 à 24 ans,Autres personnes sans activité professionnelle,765400601,Ne vivant pas en couple,Hommes
6586,55 à 59 ans,Autres personnes sans activité professionnelle,765401001,Vivant en couple,Femmes
6587,70 à 74 ans,Retraités,765401001,Vivant en couple,Femmes
6588,45 à 49 ans,Professions intermédiaires,765400902,Ne vivant pas en couple,Femmes
6589,15 à 19 ans,Autres personnes sans activité professionnelle,765400901,Ne vivant pas en couple,Femmes
6590,85 à 89 ans,Retraités,765400106,Vivant en couple,Hommes
6591,20 à 24 ans,Professions intermédiaires,765400204,Vivant en couple,Hommes
6592,30 à 34 ans,Ouvriers,765400604,Vivant en couple,Femmes
6593,5 à 9 ans,null,765400602,null,Hommes
6594,80 à 84 ans,Retraités,765400404,Ne vivant pas en couple,Femmes
6595,40 à 44 ans,Employés,765400701,Vivant en couple,Femmes
6596,65 à 69 ans,Retraités,765401001,Vivant en couple,Hommes
6597,35 à 39 ans,Professions intermédiaires,765400202,Ne vivant pas en couple,Hommes
6598,40 à 44 ans,Professions intermédiaires,765400204,Ne vivant pas en couple,Hommes
6599,10 à 14 ans,null,765400502,null,Femmes
6600,55 à 59 ans,Autres personnes sans activité professionnelle,765401005,Vivant en couple,Femmes
6601,20 à 24 ans,Autres personnes sans activité professionnelle,765400202,Ne vivant pas en couple,Hommes
6602,20 à 24 ans,Ouvriers,765400901,Vivant en couple,Hommes
6603,10 à 14 ans,null,765401005,null,Femmes
6604,Moins de 5 ans,null,765400504,null,Femmes
6605,5 à 9 ans,null,765401001,null,Hommes
6606,65 à 69 ans,Retraités,765400602,Ne vivant pas en couple,Femmes
6607,55 à 59 ans,Retraités,765400201,Vivant en couple,Femmes
6608,65 à 69 ans,Retraités,765400202,Vivant en couple,Femmes
6609,90 à 94 ans,Retraités,765400202,Ne vivant pas en couple,Femmes
6610,Moins de 5 ans,null,765400201,null,Femmes
6611,Moins de 5 ans,null,765400702,null,Femmes
6612,55 à 59 ans,Autres personnes sans activité professionnelle,765400303,Vivant en couple,Hommes
6613,35 à 39 ans,Cadres et professions intellectuelles supérieures,765400306,Vivant en couple,Hommes
6614,45 à 49 ans,Cadres et professions intellectuelles supérieures,765400105,Vivant en couple,Hommes
6615,20 à 24 ans,Employés,765401003,Ne vivant pas en couple,Femmes
6616,85 à 89 ans,Retraités,765400102,Ne vivant pas en couple,Femmes
6617,55 à 59 ans,Retraités,765400104,Vivant en couple,Hommes
6618,75 à 79 ans,Retraités,765400304,Vivant en couple,Femmes
6619,55 à 59 ans,Artisans. commerçants. chefs d'entreprise,765401002,Ne vivant pas en couple,Hommes
6620,15 à 19 ans,Autres personnes sans activité professionnelle,765400101,Ne vivant pas en couple,Femmes
6621,70 à 74 ans,Retraités,765400106,Vivant en couple,Femmes
6622,45 à 49 ans,Professions intermédiaires,765400104,Vivant en couple,Hommes
6623,65 à 69 ans,Retraités,765401002,Ne vivant pas en couple,Femmes
6624,Moins de 5 ans,null,765400201,null,Femmes
6625,Moins de 5 ans,null,765400404,null,Femmes
6626,70 à 74 ans,Retraités,765400104,Vivant en couple,Femmes
6627,65 à 69 ans,Retraités,765400106,Vivant en couple,Hommes
6628,60 à 64 ans,Autres personnes sans activité professionnelle,765400303,Ne vivant pas en couple,Femmes
6629,45 à 49 ans,Professions intermédiaires,765400203,Vivant en couple,Hommes
6630,45 à 49 ans,Professions intermédiaires,765401004,Vivant en couple,Femmes
